model,rate,seed,channel,mse,mae,nmse,skill,mode
Persistence,0.0,4,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.0,4,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.0,4,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.0,4,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.0,4,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.0,4,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.25,0,water_level,0.2174079393589274,0.355851464746404,0.8486042153838954,0.3867231298039338,irregular
LSTM,0.25,0,air_temp,2.156210850477469,1.0609523382188892,0.25071750686212885,0.5788424566700368,irregular
LSTM,0.25,0,water_temp,0.7756032923857371,0.6345455613294726,0.10754081191727578,0.7860982577400603,irregular
LSTM,0.25,0,air_pressure,3.5211730912762813,1.442086084979193,0.280617144539224,1.0066821824644636,irregular
LSTM,0.25,0,wind_u,2.132601906707631,1.13055876554739,0.5750195337987396,0.7289775820693111,irregular
LSTM,0.25,0,wind_v,3.283336838679527,1.392287533081586,0.7951431897470612,0.5868533098378037,irregular
Latent ODE,0.25,0,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.25,0,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.25,0,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.25,0,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.25,0,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.25,0,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.25,0,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.25,0,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.25,0,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.25,0,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.25,0,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.25,0,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.25,1,water_level,0.24281253867253227,0.3790322541201263,0.9477654977695962,0.4319125841860592,irregular
LSTM,0.25,1,air_temp,2.0812479776135264,1.0394546258001363,0.24200105661909782,0.558718407355472,irregular
LSTM,0.25,1,water_temp,0.7596174244264825,0.6314737649081477,0.10532430092974168,0.7698960792880084,irregular
LSTM,0.25,1,air_pressure,3.504348712817783,1.4375184605387523,0.2792763388136072,1.0018721939787598,irregular
LSTM,0.25,1,wind_u,2.126625131710647,1.131388320653988,0.5734079989119067,0.7269345683346943,irregular
LSTM,0.25,1,wind_v,3.2058931208072017,1.382986658445836,0.776388231641807,0.5730112630443968,irregular
Latent ODE,0.25,1,water_level,0.21397639735605706,0.3704644342675743,0.8352099436866917,0.38061913623628035,irregular
Latent ODE,0.25,1,air_temp,2.584906561137798,1.1351649042589027,0.30056491383322614,0.693927341929557,irregular
Latent ODE,0.25,1,water_temp,1.1044639089547041,0.7780892510122808,0.1531387845672601,1.119408804848487,irregular
Latent ODE,0.25,1,air_pressure,2.9258477382864228,1.27048031398915,0.2331731546252639,0.8364822490647015,irregular
Latent ODE,0.25,1,wind_u,2.144479378835479,1.1077789082060603,0.5782220904804067,0.7330376041885923,irregular
Latent ODE,0.25,1,wind_v,3.0943639364655735,1.3559389159355195,0.74937861436996,0.5530768870756131,irregular
Persistence,0.25,1,water_level,0.5621798196274215,0.5865985758571703,2.19434564416701,1.0,irregular
Persistence,0.25,1,air_temp,3.725039215128954,1.3286240086338146,0.4331360009499922,1.0,irregular
Persistence,0.25,1,water_temp,0.9866492957451719,0.6426157535336281,0.13680326964016296,1.0,irregular
Persistence,0.25,1,air_pressure,3.497800152433492,1.411351313487844,0.27875445639878493,1.0,irregular
Persistence,0.25,1,wind_u,2.9254698075267607,1.3006026699372983,0.7888027669746184,1.0,irregular
Persistence,0.25,1,wind_v,5.594816939154668,1.7128451721585212,1.354926651034524,1.0,irregular
LSTM,0.25,2,water_level,0.2458329512432403,0.378690550683445,0.9595550158859045,0.4372852647150576,irregular
LSTM,0.25,2,air_temp,2.201800373992207,1.0670015442849607,0.2560185151898239,0.5913046188739335,irregular
LSTM,0.25,2,water_temp,0.7771663907256541,0.6321349560000633,0.1077575423853275,0.7876702709877581,irregular
LSTM,0.25,2,air_pressure,3.7263144153778454,1.4710248639868528,0.29696572244327446,1.065339326575171,irregular
